"uid","name","fundCodes","workDay","return","optimal","optimalName"
"30346937","李琪","002156,002157,003169,003170,003658,003922,003923,004397,008679,008680",2109,77.44,"003170","长盛盛辉混合C"
"30681256","李沁","004585,004586,005451,005452,006059,006060,007429,007430,008416,008417,008501,008502,009130,009131,009266,009426,009427",541,28.17,"008416","鹏扬景瑞三年定开混合A"
"30079435","刘琦","900011,900089,900099",487,97.05,"900099","中信证券红利价值B"
"30685798","李茜","460220,510220,510880,513550,515790,516520,516770,516780,517050",473,45.54,"510220","华泰柏瑞上证中小盘ETF"
"30689271","厉骞","000463,000481,001751,001752,003092,003093",423,39.12,"003092","华商丰利增强定开债A"
"30693677","李强","009146",300,36.42,"009146","新华精选成长3个月混合(FOF)"
"30675082","陆琦","001849,004099",44,3.77,"001849","前海开源强势共识100强股票"
"30712845","林启姜","006193,006194",159,18.64,"006193","鑫元核心资产A"
"30705902","李秋实","002175,002354,002404,003162,003708,003709,004334,004458,004479,005622,005631,006582,008651,008829",228,1.97,"002354","博时裕腾纯债"
"30589381","卢绮婷","000533,004545,006852,007542,007543,008722,009985",911,7.22,"004545","永赢天天利货币"
"30457859","赖庆鑫","001267",1432,52.4,"001267","泰达宏利蓝筹混合"
"30344666","林清源","000717,009828,161605",2111,126.86,"000717","融通转型三动力灵活配置混合A"
"30493964","漆志伟","003336,003363,003364,003365,005070,005158,006135,006618,006619,007414,009700,009701,010251,010252",1587,33.75,"006618","长江可转债债券A"
"30285153","芮晨","519767",2105,121.27,"519767","交银科技创新灵活配置混合"
"30429665","任翀","002331,002528,002529,003078,005054,005172,006207,006208,006865,006978,006979",1795,44.25,"002331","泰康安泰回报混合"
"30040345","饶刚","001405,001406,002651,002652,002701,002702,005008,169106,501053",5015,41.19,"001405","东方红策略精选混合A"
"30588921","任慧峰","000545,009488,009489",914,86.19,"000545","中邮核心竞争力灵活配置混合"
"30403971","任慧娟","001477,001478,001910,002546,002934,002935,002986,004861,004862,004863,004864,009448,009449",1900,139.14,"001910","泰康新机遇混合"
"30132083","冉凌浩","000834,008972,008973,096001,160922,160924,160925",3466,203.6,"000834","大成纳斯达克100"
"30062904","任琳娜","001156",1181,154.32,"001156","申万菱信新能源汽车混合"
"30587927","任凭","000750,003402,003539,004167,005271,005272,005678,006839,006840,007099,007245,007246,010053,750006,750007",925,9.87,"006839","安信聚利增强债券A"
"30106034","任爽","000389,000475,000476,000509,000748,001134,002128,002183,003281,004796",2992,27.99,"000389","广发天天红货币A"
"30675229","任翔","000889,000890,004627,004628,007329,007330,008759,008760",452,2.34,"007329","上投摩根瑞益纯债A"
"30325149","任相栋","007802,007803",1741,78.34,"007802","兴全合泰混合A"
"30276715","饶晓鹏","008290,008371,009714,040016,040020",2465,319.78,"040020","华安升级主题混合"
"30387787","荣膺","000975,001052,005735,006196,006197,006382,006395,007472,007473,007474,007475,007505,007506,007937,007938,008199,008200,008701,008702,011612,011613,159966,159967,159983,159985,501050,512500,512950,512990,518850,588000",1933,164.97,"159967","华夏创成长ETF"
"30608989","阮毅","005465,005466,005467,005468,007819,007820,007821,007822,008964,008965,008982",843,9.52,"005467","华泰紫金智盈债券A"
"30716592","茹昱","004614,004615,005039,005040,005664,005665,006513,006514",110,8.64,"005664","鹏扬景欣混合A"
"30367885","饶玉涵","001626,006354,020015,519021",1991,191.26,"020015","国泰区位优势混合"
"30535656","茹奕菡","000395,000396",872,6.25,"000395","汇添富安心中国债券A"
"30687146","戎逸洲","007657,007658",449,61.32,"007657","东方红中证竞争力指数A"
"30080853","神爱前","004390,004391,700003",1677,113.88,"700003","平安策略先锋混合"
"30038974","史博","006540,011363,011364,202003,501062",4665,268.06,"202003","南方绩优成长混合A"
"30671593","孙彬","002340,004604,004605,004674,004675,009334",639,202.42,"002340","富国价值优势混合"
"30069921","孙蓓琳","001280,002161,002269,002326,005498,007056",2983,144.78,"005498","银华积极成长混合"
"30133215","宋炳珅","000803",3294,237.3,"000803","工银研究精选股票"
"30584181","沈博文","005171,007140,008350,008351,008367,008368,009642,100050",955,14.82,"007140","富国全球债券(QDII)美元现汇"
"30158275","苏秉毅","006038,090019,159923,159943,510440",3299,159.6,"159923","大成中证100ETF"
"30447681","史程","008381",1759,91.45,"008381","前海开源新兴产业混合"
"30138815","沙川","001550,001551,001631,001632,008590,008591,010769,010770,010953,010954,011040,011041,159841,159873",1077,112.55,"001631","天弘中证食品饮料指数A"
"30659397","施成","001704,006736,007689,007690",694,191.13,"006736","国投瑞银先进制造混合"
"30199901","苏昌景","001357,001376,001695,002562,002801,006336",1758,192.13,"002562","泓德泓益量化混合"
"30302420","邵笛","003588,003589,005573,005574,583001,583101",2305,21.32,"583101","东吴货币B"
"30532044","孙丹","000130,000131,003692,003693,008600,008601,008629,008630,008747,008748,008846,008847,008869,008870,009493,009494,009653,009654,009796,009797,010369,010370,090006",1384,34.91,"003692","大成景尚灵活配置混合A"
"30550981","沈丹","006918",1276,0.91,"006918","国联安安享稳健养老(FOF)"
"30456071","孙迪","004995,004997,005402,010112,010113,010160,010235,010245,011121,011130,011479,011480",1164,265.97,"004997","广发高端制造股票A"
"30069306","宋德舜","000066,001706,010352,320014",3056,73.71,"320014","诺安沪深300指数增强A"
"30196303","石大怿","000009,000010,000013,000359,000620,000621,000647,000648,000704,000705,000789,000790,000829,000830,000920,005097,005098,005122,006319,006320,008733,110006,110016,159001,159002,511800",3008,33.87,"000013","易方达天天理财货币R"
"30570052","宋殿宇","002261,002262,002434,002435,002614,002615,003966,003967",1105,38.87,"002435","中银宏利混合C"
"30040375","索峰","004161,004162,004163,004164,009593,009594",4376,2.39,"004162","国泰企业信用精选A美元现汇"
"30140867","孙芳","011236,011237,370024,373010,377530",3362,562.06,"370024","上投摩根核心优选混合"
"30585642","石峰","164403",941,51.54,"164403","前海开源沪港深农业混合"
"30710945","申峰旗","000584,001294,519156,519157,519158",129,23.34,"001294","新华战略新兴产业灵活配置混合"
"30507477","盛丰衍","000006,009300,009439,010779,010780,011228,159814,501059,502000,673100,673101",1549,152.85,"673101","西部利得沪深300指数增强C"
"30380157","盛豪","000877,001074,005055,005269,006531,006532,006942,006943,010137,010138",1957,117.77,"000877","华泰柏瑞量化优选混合"
"30428546","孙慧","002501,005463,005464,005771,010816,180025,180026,180028",1841,123.3,"180028","银华永祥灵活配置混合"
"30166092","盛骅","004263,006768,040011",1102,170.79,"040011","华安核心优选混合"
"30070094","舒灏","000072,001282,002181,003799,003800,009694",964,174.12,"002181","华安大安全混合"
"30570050","宋海岸","002983,004945,005137,007448,008960",1104,105.65,"002983","长信国防军工量化混合A"
"30200208","商园波","007057,007058,007582,007583",666,5.44,"007057","中泰蓝月短债A"
"30272725","宋海娟","003121,003130,003226,003227,003236,003237,003277,003278,003287,003288,003614,003615,004102,004103,004104,004105,004106,004107,004108,004109,165509,550004,550005",2672,85.69,"550004","信诚三得益债券A"
"30676098","施红俊","007137,007138,007593,007594",541,72.19,"007137","鹏扬元合量化大盘A"
"30705147","孙海龙","005625,006667",232,1,"006667","南华瑞元定期开放债券"
"30510298","沈宏伟","005360",1319,-6.06,"005360","汇安资产轮动混合"
"30080907","孙浩中","000209,001596,002177,004153,004154,005977,005978",423,105.65,"000209","信诚新兴产业混合"
"30308132","桑俊","000556,000557,001499,001520,002358,007326,121008",2270,123.94,"121008","国投瑞银成长优选混合"
"30565418","师婧","000507,000508,001254,002313,006105,162211",1153,21.59,"162211","泰达宏利品质生活混合"
"30652842","石婧","006303,009003",654,23.48,"006303","中银养老一年定开(FOF)"
"30688194","沈佳","519935",436,60.88,"519935","长信创新驱动股票"
"30691820","邵洁","009519,009520,166010,501081,501208",372,54.05,"501081","中欧科创主题3年封闭混合"
"30706230","石炯","001753",227,54.78,"001753","红土创新新兴产业混合"
"30072275","申俊华","002828,002829,202301,202302",2063,2.56,"202302","南方现金增利货币B"
"30663468","孙静佳","006882,006883",635,101.26,"006882","华泰保兴健康消费A"
"30063687","孙继青","001708,002465,002759,002760,003208,004840,006442",1992,64.23,"004840","东兴品牌精选混合A"
"30510847","桑劲乔","000785,000786,000787",1537,13.42,"000786","华融现金增利货币B"
"30063371","苏静然","001303,001728,002323,180013,501038,519001",1289,169.84,"501038","银华明择多策略定期开放混合"
"30689273","束金伟","005821",421,79.28,"005821","万家新机遇龙头企业混合"
"30434304","宋加旺","000319,000320,007641,007642,162210,162299",29,0.2,"162210","泰达宏利集利债券A"
"30352210","申坤","020026,519606",2088,152.11,"519606","国泰金鑫股票"
"30164232","孙琳","005433,310308,310388",2580,185.6,"310308","申万菱信盛利精选混合"
"30477284","宋璐","000069,000070,000556,000557,005019,005641,005995,007260,009417,009418,161216,161221",1670,129,"000556","国投瑞银新机遇灵活配置混合A"
"30590568","桑磊","006321,006322,007241,007242,008639",864,65.39,"006321","中欧预见养老2035(FOF)A"
"30062872","石磊","004612,004613,519616,519617,519618,519656,519657",670,69.28,"519656","银河灵活配置混合A"
"30683561","沈莉","008050,008051,008093,008094,008180,008181",458,62.76,"008093","同泰慧选混合发起式A"
"30136189","孙磊","005412,005413",144,45.43,"005412","金信民长混合A"
"30721226","宋蕾","007721,007722",56,3.58,"007721","天弘标普500(QDII-FOF)A"
"30724468","沈犁","005851,005959",24,9.15,"005851","财通新视野灵活配置混合A"
"30568690","苏利华","004072,004073,005818,008224,008225,620010,620011",1121,13.17,"005818","金元顺安沣泰定开债发起式"
"30040370","孙鲁闽","003161,003295,006586,007415,007416,008513,008514,010742,010743",3721,45.79,"003161","南方安泰混合"
"30296881","孙丽娜","000239,000240,001485,003803,003804,006337,006338,008214,008215,008675,008676,040003,041003",2366,414.67,"003803","华安新丰利灵活配置混合A"
"30656400","索丽娜","000951,000952,004722,004899,008146,008147,008232,008233,010083,380010,380011",724,4.98,"004722","中银丰和定开债券"
"30687283","孙麓深","002817,002818,003438,003439",448,2.52,"002817","招商招恒纯债A"
"30710578","孙连玉","009159,009160",129,4.95,"009160","前海联合智选3个月持有混合(FOF)C"
"30693360","孙蒙","002871,002872,007994,007995,008856",340,47.45,"007994","华夏中证500指数增强A"
"30200192","苏谋东","001530,001633,001634,002664,002665,004681,004682,006175,006176,008979,161902,161911,519188,519189",2824,58.49,"161911","万家强化收益定开债"
"30725472","沈明辉","004521,004522",2,0.1,"004521","安信工业4.0灵活配置混合A"
"30132431","沈楠","501092,519700,519756",2118,186.8,"519700","交银主题优选混合"
"30332853","苏宁","004632,006316,008694,008695,008696,009148,009166,009227,009228,009229,009509,010228,010229,167003",423,10.1,"167003","平安鼎弘混合(LOF)A"
"30137817","宋青","001900,163208,320013,320017",3386,76.95,"001900","诺安精选价值混合"
"30064163","申庆","004952,004953,007230,010673,010674,163407",3763,206.11,"163407","兴全沪深300指数(LOF)A"
"30655181","邵强","000316,000674,163907",732,4.2,"163907","中海惠裕纯债发起式"
"30666230","尚琼","007297,007298,008753",604,49.86,"007297","大成养老2040(FOF)A"
"30648940","孙庆","007877,007878,008061,008062,008418,008419,008531,008532,008533,008534,009763,009764",480,66.94,"009763","惠升和悦债券A"
"30060264","苏圻涵","005813,005814,040018,040021,513900",5224,157.9,"040018","华安香港精选股票(QDII)"
"30118449","孙倩倩","003484,003485,007233",912,6.14,"003484","金鹰鑫益混合A"
